Customer ID,MonetaryValue,Frequency,Recency,Cluster
12348.0,1658.3999999999999,5,74,2
12349.0,3678.69,3,18,2
12350.0,294.4,1,309,1
12351.0,300.93,1,374,1
12352.0,1729.54,9,35,2
12353.0,406.76,2,203,3
12354.0,1079.4,1,231,3
12355.0,947.61,2,213,3
12358.0,3447.07,5,1,2
12360.0,3612.89,6,51,0
12361.0,451.25,4,286,3
12362.0,4737.23,10,2,0
12363.0,552.0,2,109,3
12364.0,1208.1,4,7,3
12365.0,320.69,1,290,1
12366.0,500.24,1,633,1
12367.0,150.9,1,3,3
12368.0,917.6999999999999,1,627,1
12369.0,1511.15,3,412,1
12370.0,3960.31,7,50,0
12371.0,3347.38,4,59,2
12372.0,1196.04,3,71,3
12373.0,927.6500000000001,3,310,1
12374.0,2669.22,3,24,2
12375.0,377.5,2,10,3
12376.0,383.15,2,389,1
12377.0,3266.32,4,314,2
12379.0,1470.22,4,81,2
12381.0,1474.81,3,4,3
12383.0,1628.56,5,184,2
12384.0,425.27000000000004,2,28,3
12385.0,1668.4,1,378,1
12386.0,660.8,2,337,1
12387.0,143.94,1,414,1
12388.0,3901.11,8,15,0
12389.0,1433.33,3,402,1
12390.0,504.84000000000003,1,79,3
12391.0,2773.42,6,21,2
12392.0,234.75000000000003,1,590,1
12393.0,2399.4500000000003,6,71,2
12394.0,1080.48,2,63,3
12395.0,4551.27,15,18,0
12396.0,931.43,1,673,1
12397.0,2214.9,2,35,2
12398.0,1435.66,1,45,3
12399.0,1842.3,7,118,2
12400.0,205.25,1,413,1
12401.0,69.3,1,302,1
12402.0,1136.9,6,322,2
12403.0,947.36,2,49,3
12405.0,1390.39,1,148,3
12407.0,1507.1200000000001,5,49,2
12408.0,3905.77,8,32,0
12410.0,773.71,3,308,1
12411.0,346.9,1,409,1
12412.0,2404.93,6,74,2
12413.0,871.45,4,66,3
12414.0,532.41,4,216,3
12416.0,202.56,1,656,1
12418.0,2021.2,4,112,2
12419.0,391.01,2,385,1
12420.0,600.39,1,63,3
12421.0,874.6,6,15,2
12422.0,3639.35,12,95,0
12423.0,2301.39,10,0,0
12424.0,3340.03,4,162,2
12425.0,1741.41,2,77,3
12426.0,1201.21,2,194,3
12427.0,949.3,3,21,3
12430.0,216.4,1,42,3
12432.0,4359.32,4,42,0
12434.0,1103.43,3,84,3
12436.0,429.01000000000005,1,99,3
12438.0,2466.85,2,13,2
12439.0,1158.18,2,682,1
12440.0,739.2,2,461,1
12441.0,311.1,1,366,1
12442.0,144.06,1,2,3
12443.0,365.31,1,731,1
12444.0,4085.46,5,20,0
12445.0,378.98,2,21,3
12446.0,1002.3100000000001,1,57,3
12447.0,431.49,1,242,3
12448.0,365.45,1,43,3
12449.0,4274.89,5,21,0
12450.0,688.2,5,155,3
12452.0,348.57,1,16,3
12453.0,707.09,1,133,3
12456.0,2581.04,3,43,2
12457.0,2555.91,7,65,2
12458.0,1502.49,4,70,2
12459.0,398.36,1,604,1
12460.0,296.65,1,455,1
12461.0,626.88,1,154,3
12462.0,937.59,2,18,3
12463.0,1200.78,4,52,3
12464.0,957.05,8,9,2
12465.0,682.1899999999999,2,16,3
12467.0,132.8,1,422,1
12468.0,3238.74,5,187,2
12469.0,3070.54,2,522,1
12470.0,211.95,1,689,1
12473.0,2596.23,3,53,2
12475.0,1065.64,2,53,3
12478.0,545.99,1,3,3
12479.0,473.2,1,10,3
12480.0,4834.85,7,27,0
12485.0,708.1,1,528,1
12486.0,917.28,1,431,1
12487.0,285.29999999999995,1,730,1
12488.0,1244.66,3,9,3
12489.0,298.93,1,335,1
12491.0,424.40000000000003,1,38,3
12492.0,607.21,3,62,3
12493.0,379.74,2,165,3
12494.0,1602.8700000000001,9,15,2
12495.0,277.4,1,640,1
12496.0,54.09,2,619,1
12498.0,349.70000000000005,3,20,3
12499.0,357.72,1,559,1
12501.0,2025.39,1,336,1
12502.0,2995.87,5,95,2
12503.0,896.0,1,583,1
12504.0,689.05,4,17,3
12505.0,787.2,1,408,1
12506.0,73.5,1,232,3
12507.0,1508.06,4,133,2
12508.0,398.27,2,25,3
12509.0,158.5,1,283,1
12510.0,3039.03,7,142,2
12511.0,3084.02,1,428,1
12512.0,138.03,2,65,3
12513.0,558.29,1,112,3
12514.0,1597.76,2,266,3
12515.0,278.7,1,352,1
12516.0,2288.62,4,77,2
12517.0,2322.84,4,27,2
12518.0,1840.89,5,0,2
12519.0,636.54,2,63,3
12520.0,2346.2599999999998,5,78,2
12521.0,545.68,1,142,3
12522.0,156.72,2,38,3
12525.0,883.73,3,497,1
12526.0,1172.66,3,0,3
12527.0,717.51,5,81,3
12528.0,1645.48,6,8,2
12529.0,316.48,1,527,1
12530.0,3381.26,9,59,0
12531.0,1771.2,2,14,3
12532.0,313.83000000000004,1,29,3
12533.0,1223.89,2,627,1
12534.0,981.18,1,130,3
12535.0,716.35,2,91,3
12536.0,4279.71,1,58,2
12537.0,612.94,1,408,1
12538.0,640.45,2,28,3
12541.0,841.18,3,29,3
12542.0,481.88,2,483,1
12543.0,840.25,1,447,1
12544.0,316.7,1,35,3
12545.0,832.39,2,74,3
12546.0,1021.5,2,46,3
12547.0,299.58,3,197,3
12548.0,67.19999999999999,1,165,3
12549.0,1570.68,5,575,1
12550.0,824.83,1,78,3
12551.0,168.0,1,357,1
12552.0,317.82,1,39,3
12553.0,4104.75,12,7,0
12554.0,384.5,1,448,1
12556.0,603.71,2,49,3
12558.0,269.96,1,7,3
12559.0,525.71,2,310,1
12560.0,1918.01,2,4,3
12561.0,238.85,1,302,1
12562.0,4426.92,9,7,0
12563.0,221.24,1,408,1
12564.0,402.9,1,260,3
12565.0,145.92,1,288,1
12566.0,297.65,1,85,3
12568.0,52.0,1,644,1
12571.0,519.61,2,39,3
12572.0,912.42,2,8,3
12573.0,717.41,5,226,3
12574.0,182.45000000000002,1,315,1
12575.0,568.8199999999999,2,456,1
12576.0,2062.72,8,35,2
12577.0,1649.8,8,34,2
12578.0,4026.4500000000003,4,20,2
12579.0,386.42,1,77,3
12580.0,962.9,2,246,3
12581.0,179.71,1,39,3
12582.0,1820.4,4,238,2
12584.0,2254.15,9,3,2
12585.0,1824.1,2,233,3
12586.0,2062.67,4,16,2
12587.0,104.0,1,7,3
12588.0,718.78,3,38,3
12589.0,3294.91,6,28,2
12591.0,1128.15,3,316,1
12592.0,1723.6399999999999,4,91,2
12593.0,382.09999999999997,3,108,3
12594.0,4890.110000000001,14,37,0
12595.0,281.02,1,504,1
12596.0,450.27,2,50,3
12597.0,3195.22,4,18,2
12598.0,4192.09,10,9,0
12599.0,2026.72,13,28,0
12601.0,573.26,6,189,2
12602.0,153.12,1,58,3
12603.0,613.1999999999999,1,21,3
12604.0,236.18,2,78,3
12605.0,1124.95,3,375,1
12607.0,1579.51,1,59,3
12608.0,415.79,1,404,1
12609.0,3021.86,9,77,0
12610.0,1747.54,4,22,2
12611.0,1193.32,1,51,3
12612.0,668.0400000000001,1,73,3
12614.0,315.6,1,277,3
12616.0,1023.1,3,94,3
12617.0,355.53,1,28,3
12618.0,137.31,1,21,3
12619.0,3085.7,9,15,0
12620.0,1303.41,3,14,3
12622.0,162.1,1,231,3
12623.0,3315.84,7,275,0
12624.0,569.13,2,105,3
12625.0,4678.88,4,211,0
12627.0,4082.53,6,10,0
12628.0,732.46,3,3,3
12629.0,1198.22,2,385,1
12630.0,1030.88,2,9,3
12631.0,3321.57,6,56,2
12632.0,714.88,2,520,1
12633.0,5156.16,7,58,0
12634.0,360.0,1,547,1
12635.0,2624.41,4,89,2
12638.0,681.49,2,32,3
12639.0,1072.37,3,238,3
12640.0,994.58,3,23,3
12641.0,145.9,1,114,3
12642.0,905.26,3,24,3
12644.0,1900.49,4,129,2
12645.0,3215.3,8,33,0
12646.0,1346.97,2,4,3
12648.0,1039.0,4,154,3
12649.0,2096.65,8,106,2
12650.0,242.44000000000003,1,2,3
12651.0,377.75,4,334,1
12652.0,891.03,2,330,1
12653.0,4160.83,3,148,2
12654.0,529.98,5,10,3
12655.0,243.35000000000002,1,423,1
12657.0,1427.18,4,10,2
12658.0,632.05,1,18,3
12659.0,73.68,1,29,3
12660.0,227.1,1,10,3
12661.0,162.0,1,435,1
12663.0,185.4,2,624,1
12665.0,259.6,3,324,1
12666.0,1248.42,1,393,1
12667.0,460.13,1,57,3
12669.0,1427.73,2,150,3
12670.0,3436.29,7,9,0
12671.0,2622.481,1,605,1
12672.0,407.05,2,329,1
12673.0,1140.02,3,4,3
12674.0,1844.6,4,38,2
12675.0,874.5,2,553,1
12676.0,2333.09,10,24,0
12677.0,359.1,2,554,1
12679.0,951.02,4,58,3
12680.0,790.81,4,0,3
12684.0,2073.63,6,7,2
12685.0,2575.08,6,27,2
12686.0,142.28,1,371,1
12687.0,1858.91,1,480,1
12688.0,4873.8099999999995,1,113,2
12689.0,1139.61,2,25,3
12690.0,335.01,1,205,3
12691.0,1044.4,6,27,2
12692.0,110.95,1,636,1
12693.0,1415.02,7,126,2
12694.0,1663.35,3,69,2
12695.0,1371.1200000000001,7,6,2
12696.0,731.91,2,434,1
12697.0,757.59,3,28,3
12698.0,285.75,1,589,1
12699.0,566.11,1,417,1
12700.0,4525.99,4,7,0
12701.0,2248.41,6,79,2
12702.0,201.0,1,19,3
12703.0,898.53,4,70,3
12704.0,1740.84,8,6,2
12707.0,603.42,1,291,1
12710.0,1023.02,3,96,3
12711.0,1213.05,2,611,1
12713.0,794.55,1,0,3
12715.0,273.86,1,105,3
12716.0,963.49,2,3,3
12717.0,1058.91,3,150,3
12718.0,202.25,1,70,3
12719.0,572.95,2,4,3
12721.0,3635.08,8,31,0
12722.0,979.63,4,84,3
12723.0,707.07,5,3,3
12724.0,2083.52,7,4,2
12725.0,2278.56,3,370,2
12726.0,3690.6,11,27,0
12727.0,4905.53,10,10,0
12728.0,926.17,5,70,2
12729.0,417.01,1,113,3
12730.0,703.25,1,521,1
12732.0,218.26000000000002,1,179,3
12733.0,2424.02,4,233,2
12734.0,603.65,3,352,1
12735.0,689.5699999999999,2,314,1
12736.0,144.0,1,332,1
12738.0,274.7,1,371,1
12739.0,2421.23,2,98,2
12740.0,427.6,1,63,3
12741.0,236.07,1,532,1
12742.0,1201.52,1,625,1
12743.0,546.43,2,133,3
12745.0,723.85,2,486,1
12746.0,254.55,1,540,1
12750.0,275.88,1,128,3
12751.0,268.27,1,444,1
12752.0,4366.78,1,80,2
12754.0,3010.74,3,235,2
12756.0,112.07999999999998,1,86,3
12757.0,4199.2,9,15,0
12759.0,4618.74,8,51,0
12760.0,317.8,1,455,1
12761.0,712.95,1,464,1
12762.0,1702.52,2,7,3
12763.0,814.16,2,137,3
12764.0,1693.88,1,316,1
12765.0,1299.58,6,471,1
12767.0,949.82,1,375,1
12768.0,168.69000000000003,1,450,1
12769.0,1143.6,1,238,3
12770.0,3246.45,2,210,2
12771.0,226.3,1,485,1
12772.0,752.47,1,59,3
12773.0,124.25,1,563,1
12774.0,83.7,1,535,1
12775.0,1551.12,7,16,2
12776.0,27.5,1,667,1
12777.0,519.45,1,457,1
12778.0,1541.68,9,19,2
12780.0,322.4,1,598,1
12781.0,786.74,2,63,3
12782.0,3862.2400000000002,11,4,0
12783.0,1295.87,4,1,2
12784.0,1552.75,2,14,3
12785.0,904.4,3,363,1
12786.0,668.5,1,609,1
12787.0,799.18,4,9,3
12788.0,384.9,4,462,1
12789.0,225.35,3,64,3
12790.0,546.85,2,191,3
12791.0,834.4300000000001,5,373,1
12792.0,715.01,2,256,3
12793.0,849.33,3,334,1
12794.0,860.41,2,52,3
12795.0,318.48,1,18,3
12796.0,351.0,1,627,1
12797.0,694.11,2,365,1
12799.0,219.35,1,528,1
12800.0,500.25,2,469,1
12801.0,871.82,1,500,1
12802.0,2186.42,5,186,2
12803.0,1017.81,1,392,1
12804.0,327.02,2,465,1
12805.0,1230.95,4,381,1
12806.0,2558.96,2,571,1
12807.0,250.35,1,382,1
12808.0,850.1,5,36,3
12809.0,1384.3400000000001,3,177,3
12810.0,534.99,2,534,1
12811.0,893.9,4,261,3
12812.0,229.64000000000001,1,44,3
12813.0,1621.8,3,501,1
12814.0,85.92,1,101,3
12815.0,863.46,2,147,3
12816.0,452.20000000000005,2,95,3
12817.0,570.98,3,280,3
12818.0,1182.0800000000002,1,261,3
12819.0,540.52,1,457,1
12820.0,2689.52,11,2,0
12821.0,220.8,2,213,3
12822.0,948.88,2,70,3
12824.0,397.12,1,59,3
12825.0,518.63,2,520,1
12826.0,2955.75,12,2,0
12827.0,430.15000000000003,3,5,3
12828.0,1018.71,6,2,2
12829.0,385.3,3,336,1
12831.0,451.11,3,261,3
12832.0,383.03,2,31,3
12833.0,417.38,1,144,3
12834.0,312.38,1,282,3
12837.0,688.41,2,172,3
12838.0,3398.48,10,33,0
12840.0,4041.97,7,143,0
12842.0,1917.99,4,69,2
12844.0,648.6,4,28,3
12845.0,354.09,4,266,3
